date,bcv_usd_ves,bcv_eur_ves,usdt_buy_avg,usdt_sell_avg,samples_count,first_sample_at,last_sample_at
10/3/2026,436.242,505.4167781,621.0574,619.7734,5,2026-03-10T12:56:44-04:00,2026-03-10T20:51:06-04:00
11/3/2026,438.205,510.2108456,625.345,626.25325,2,2026-03-11T09:15:40-04:00,2026-03-11T09:59:08-04:00
12/3/2026,440.9657,510.4883523,625.9,622.4,1,2026-03-12T09:41:09-04:00,2026-03-12T09:41:09-04:00
13/3/2026,443.2587,511.220648,625.7196,624.0195,5,2026-03-13T15:52:55-04:00,2026-03-13T17:52:56-04:00
2026-03-27,468.5145,541.19046924,663.875,660.985,1,2026-03-27T16:13:01+00:00,2026-03-27T16:13:01+00:00
2026-03-30,471.7004,543.94131626,659.0,656.9915,1,2026-03-30T16:43:39-04:00,2026-03-30T16:43:39-04:00
2026-03-31,473.8702,542.63824342,659.0,657.5025,1,2026-03-31T16:59:50-04:00,2026-03-31T16:59:50-04:00
2026-04-01,473.9176,545.94833602,654.94678125,649.7441249999999,16,2026-04-01T00:20:07-04:00,2026-04-01T16:57:29-04:00
2026-04-02,474.0598,550.8954,655.3614166666666,650.2522777777777,18,2026-04-02T00:02:08-04:00,2026-04-02T16:28:42-04:00
2026-04-03,474.0598,550.8954,649.6809523809524,644.3067619047619,21,2026-04-03T01:26:22-04:00,2026-04-03T16:33:32-04:00
2026-04-06,474.0598,550.89541238,634.2213235294117,629.8544411764706,17,2026-04-06T01:39:23-04:00,2026-04-06T16:58:46-04:00
2026-04-07,475.0083,549.69860509,635.6997894736842,631.7185,19,2026-04-07T00:05:30-04:00,2026-04-07T18:23:06-04:00
